,Year,Source,Revenue,Expenses,Asset rise,Total assets,Rev,Exp
0,2021/22,PDF,154686521,5970915,8173996,239351532,154686521,
1,2020/21,PDF,162886686,1839819,50861811,231177536,162886686,111839819.0
2,2019/20,PDF,129234327,2489397,14674300,180315725,129234327,112489397.0
3,2018/19,PDF,120067266,414010,30691855,165641425,120067266,91414010.0
4,2017/18,PDF,104505783,442265,21619373,134949570,104505783,81442265.0
5,2016/17,PDF,91242418,136758,21547402,113330197,91242418,69136758.0
6,2015/16,PDF,81862724,947465,13962497,91782795,81862724,65947465.0
7,2014/15,PDF,75797223,596782,24345277,77820298,75797223,52596782.0
8,2013/14,PDF,52465287,900745,8285897,53475021,52465287,45900745.0
9,2012/13,PDF,48635408,704796,10260066,45189124,48635408,35704796.0
10,2011/12,PDF,38479665,260652,10736914,34929058,38479665,29260652.0
11,2010/11,PDF,24785092,889794,9649413,24192144,24785092,17889794.0
12,2009/10,PDF,17979312,266793,6310964,14542731,17979312,10266793.0
13,2008/09,PDF,8658006,617236,3053599,8231767,8658006,5617236.0
14,2007/08,PDF,5032981,540724,3519886,5178168,5032981,3540724.0
15,2006/07,PDF,2734909,77843,654066,1658282,2734909,2077843.0
16,2005/06,PDF,1508039,1907,736132,1004216,1508039,791907.0
17,2004/05,PDF,379088,7670,211418,268084,379088,177670.0
18,2003/04,PDF,80129,463,56666,56666,80129,23463.0
